Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
rcm_2,"(81.71, 1.19)","(82.04, 0.95)","(85.05, 0.51)","(85.0, 0.44)","(72.82, 0.38)","(69.44, 1.23)","(306.35, 3.31)"
rcm_2,"(81.22, 0.63)","(81.69, 0.51)","(84.95, 0.79)","(85.0, 0.69)","(72.74, 0.88)","(68.58, 1.64)","(304.98, 4.95)"
rcm_2,"(81.53, 0.88)","(81.92, 0.71)","(85.31, 0.43)","(85.29, 0.42)","(73.39, 0.6)","(69.73, 1.49)","(303.62, 3.86)"
rcm_2,"(79.3, 3.55)","(79.93, 3.32)","(83.76, 2.85)","(83.91, 2.7)","(72.08, 2.52)","(68.49, 2.82)","(307.89, 8.07)"
rcm_2,"(79.21, 3.65)","(79.84, 3.41)","(83.4, 2.91)","(83.56, 2.75)","(71.42, 2.48)","(67.54, 2.66)","(305.72, 8.47)"
rcm_2,"(78.95, 3.53)","(79.58, 3.3)","(83.25, 2.82)","(83.4, 2.66)","(71.77, 2.53)","(68.28, 2.82)","(306.32, 8.77)"
rcm_2,"(82.19, 1.47)","(82.45, 1.2)","(85.31, 0.46)","(85.21, 0.44)","(73.26, 0.37)","(70.07, 1.14)","(305.26, 2.14)"
rcm_2,"(79.52, 3.98)","(79.98, 3.63)","(83.25, 3.04)","(83.28, 2.87)","(71.56, 2.64)","(68.28, 3.13)","(307.39, 8.52)"
rcm_2,"(79.69, 3.95)","(80.14, 3.59)","(83.5, 2.89)","(83.52, 2.72)","(71.86, 2.58)","(68.49, 2.99)","(307.39, 7.3)"
rcm_2,"(79.13, 3.5)","(79.74, 3.26)","(83.56, 2.8)","(83.7, 2.64)","(71.73, 2.4)","(68.14, 2.6)","(307.22, 8.2)"
rcm_2,"(78.99, 3.64)","(79.63, 3.41)","(83.45, 2.98)","(83.61, 2.83)","(71.86, 2.71)","(68.4, 3.01)","(307.6, 7.95)"
rcm_2,"(81.97, 1.69)","(82.16, 1.35)","(84.59, 1.04)","(84.44, 1.0)","(72.95, 0.85)","(69.89, 0.92)","(304.0, 2.37)"
rcm_2,"(80.88, 1.02)","(81.33, 0.88)","(84.48, 0.79)","(84.52, 0.71)","(72.39, 0.72)","(68.67, 1.27)","(304.14, 6.39)"
rcm_2,"(81.66, 1.22)","(82.06, 1.08)","(85.36, 0.57)","(85.36, 0.51)","(73.44, 0.35)","(69.93, 1.2)","(302.99, 5.19)"
rcm_2,"(81.05, 0.88)","(81.49, 0.75)","(84.95, 0.55)","(84.97, 0.47)","(72.95, 0.6)","(69.2, 1.33)","(304.41, 4.54)"
rcm_2,"(81.05, 1.42)","(81.53, 1.26)","(85.05, 0.93)","(85.1, 0.84)","(73.22, 0.53)","(69.62, 1.21)","(304.73, 4.83)"
rcm_2,"(81.8, 1.6)","(82.06, 1.27)","(84.9, 0.66)","(84.8, 0.67)","(72.91, 0.16)","(69.43, 0.96)","(306.1, 3.12)"
rcm_2,"(79.39, 3.74)","(79.95, 3.47)","(83.61, 3.05)","(83.71, 2.89)","(72.16, 2.83)","(68.52, 3.08)","(306.73, 9.15)"
rcm_2,"(80.79, 1.64)","(81.1, 1.41)","(83.51, 0.98)","(83.44, 1.1)","(72.26, 1.02)","(69.29, 2.3)","(316.37, 7.49)"
rcm_2,"(79.12, 4.33)","(79.65, 3.93)","(82.89, 3.15)","(82.97, 2.9)","(70.99, 2.65)","(67.58, 3.05)","(307.93, 7.24)"
rcm_2,"(81.71, 0.82)","(81.83, 0.71)","(84.48, 1.21)","(84.25, 1.52)","(73.0, 0.22)","(69.63, 0.8)","(307.55, 7.35)"
rcm_2,"(81.58, 1.18)","(81.88, 0.96)","(84.79, 0.89)","(84.73, 0.89)","(72.34, 0.66)","(68.86, 0.56)","(306.52, 1.43)"
rcm_2,"(81.27, 0.96)","(81.69, 0.8)","(84.95, 0.68)","(84.96, 0.6)","(73.04, 0.29)","(69.7, 0.92)","(302.64, 4.87)"
rcm_2,"(82.01, 1.16)","(82.24, 0.97)","(84.38, 0.96)","(84.29, 0.88)","(72.87, 1.26)","(69.93, 2.28)","(316.28, 7.47)"
rcm_2,"(79.69, 4.1)","(80.12, 3.75)","(83.09, 3.12)","(83.11, 2.92)","(71.16, 2.68)","(67.57, 3.12)","(308.04, 8.85)"
rcm_2,"(82.1, 0.82)","(82.29, 0.94)","(84.38, 1.28)","(84.25, 1.52)","(72.91, 0.98)","(70.2, 1.91)","(313.94, 2.9)"
rcm_2,"(82.45, 0.37)","(82.68, 0.48)","(84.69, 0.58)","(84.61, 0.68)","(72.69, 0.67)","(70.19, 1.74)","(315.87, 1.68)"
rcm_3,"(75.45, 3.4)","(75.32, 3.34)","(77.99, 3.98)","(77.34, 5.08)","(66.22, 3.37)","(60.43, 3.98)","(391.05, 9.94)"
rcm_3,"(80.48, 1.01)","(80.78, 0.77)","(83.61, 0.38)","(83.5, 0.48)","(71.9, 0.57)","(69.25, 0.67)","(377.19, 10.87)"
rcm_2,"(79.08, 3.86)","(79.71, 3.62)","(83.61, 3.21)","(83.76, 3.05)","(71.77, 2.82)","(68.16, 2.99)","(306.84, 9.66)"
rcm_2,"(80.74, 1.2)","(81.21, 1.05)","(84.48, 0.9)","(84.52, 0.82)","(72.47, 0.68)","(68.65, 1.39)","(304.63, 4.91)"
rcm_2,"(80.92, 1.49)","(81.41, 1.32)","(84.74, 1.17)","(84.81, 1.04)","(72.69, 0.7)","(68.8, 1.22)","(305.43, 4.91)"
rcm_2,"(82.1, 1.19)","(82.38, 1.01)","(85.0, 0.55)","(84.93, 0.51)","(72.56, 0.36)","(69.2, 1.26)","(304.8, 2.2)"
rcm_3,"(80.87, 0.81)","(81.13, 0.64)","(83.61, 0.93)","(83.48, 1.08)","(71.6, 0.47)","(68.94, 1.19)","(372.0, 8.07)"
rcm,"(80.31, 0.85)","(80.38, 0.91)","(82.32, 0.9)","(82.03, 1.07)","(70.81, 0.78)","(67.23, 1.95)","(310.52, 9.69)"
rcm_5,"(80.3, 1.94)","(80.67, 1.63)","(83.66, 1.13)","(83.61, 0.99)","(71.6, 0.94)","(67.86, 1.53)","(434.63, 7.91)"
rcm_5,"(80.92, 2.37)","(81.25, 1.95)","(83.77, 1.53)","(83.72, 1.52)","(71.77, 1.67)","(68.64, 2.09)","(436.21, 10.6)"
rcm_5,"(80.53, 2.3)","(80.85, 1.88)","(83.4, 1.31)","(83.33, 1.49)","(71.86, 1.51)","(68.89, 2.05)","(434.5, 9.92)"
rcm_5,"(80.66, 2.85)","(80.98, 2.38)","(83.4, 1.43)","(83.35, 1.34)","(71.47, 1.16)","(68.51, 1.91)","(435.15, 11.01)"
rcm_5,"(79.83, 2.56)","(80.11, 2.04)","(82.47, 0.65)","(82.37, 0.54)","(70.77, 0.69)","(67.07, 1.07)","(377.17, 10.81)"
rcm_5,"(79.69, 1.95)","(79.94, 1.35)","(82.22, 0.43)","(82.07, 0.74)","(70.41, 0.59)","(66.67, 0.84)","(378.07, 9.72)"
rcm_5,"(80.48, 2.83)","(80.86, 2.4)","(83.4, 1.59)","(83.39, 1.41)","(71.51, 1.38)","(68.39, 1.46)","(435.68, 12.61)"
rcm_5,"(82.72, 1.05)","(82.7, 0.73)","(84.64, 0.26)","(84.34, 0.35)","(72.34, 0.41)","(69.15, 1.03)","(429.45, 1.23)"
rcm_5,"(81.4, 0.76)","(81.6, 0.64)","(83.76, 0.76)","(83.62, 0.83)","(71.25, 1.04)","(68.89, 1.64)","(435.07, 14.95)"
rcm_5,"(80.83, 1.29)","(81.2, 1.11)","(83.5, 0.86)","(83.5, 0.78)","(71.16, 1.09)","(68.86, 2.47)","(434.29, 6.19)"
rcm_5,"(82.15, 1.55)","(82.04, 1.3)","(83.3, 1.42)","(82.92, 1.74)","(70.81, 0.96)","(68.7, 2.15)","(433.9, 6.36)"
rcm_5,"(82.36, 1.51)","(82.6, 1.25)","(84.74, 0.64)","(84.67, 0.69)","(72.47, 0.78)","(69.52, 1.11)","(427.83, 2.83)"
rcm_5,"(82.41, 1.59)","(82.66, 1.4)","(84.9, 1.01)","(84.82, 1.16)","(72.6, 0.94)","(69.73, 1.24)","(427.23, 1.2)"
rcm_2,"(81.53, 1.57)","(81.85, 1.26)","(84.74, 0.68)","(84.69, 0.59)","(73.04, 0.94)","(69.35, 1.7)","(302.86, 3.52)"
rcm_2,"(81.31, 2.22)","(81.73, 1.95)","(84.23, 1.27)","(84.28, 1.1)","(72.91, 0.64)","(70.78, 0.93)","(300.36, 4.15)"
rcm_2,"(81.09, 1.4)","(81.57, 1.2)","(84.12, 0.53)","(84.21, 0.44)","(73.26, 0.72)","(70.92, 1.39)","(301.3, 3.52)"
rcm_5,"(82.06, 1.43)","(82.31, 1.25)","(84.54, 0.94)","(84.46, 1.0)","(72.12, 0.81)","(68.43, 1.11)","(420.53, 7.48)"
rcm_5,"(83.02, 1.71)","(83.25, 1.53)","(85.36, 1.28)","(85.3, 1.26)","(72.87, 0.83)","(69.43, 1.54)","(423.16, 5.07)"
rcm_5,"(82.58, 1.57)","(82.81, 1.26)","(85.0, 0.58)","(84.91, 0.5)","(72.61, 0.47)","(69.61, 1.25)","(421.08, 7.01)"
rcm_5,"(81.53, 1.53)","(81.94, 1.32)","(84.85, 1.07)","(84.87, 0.93)","(72.73, 0.95)","(70.48, 1.0)","(427.05, 3.13)"
rcm,"(80.13, 0.99)","(80.26, 0.97)","(82.32, 0.93)","(82.07, 1.05)","(70.85, 1.06)","(67.34, 2.37)","(310.04, 9.8)"
rcm,"(79.08, 1.87)","(79.43, 1.56)","(82.06, 0.76)","(81.97, 0.63)","(70.11, 0.77)","(66.64, 1.38)","(436.5, 16.7)"
rcm,"(78.43, 3.02)","(78.73, 2.69)","(80.93, 2.26)","(80.8, 2.05)","(69.63, 2.25)","(66.67, 1.81)","(431.37, 16.36)"
rcm,"(78.6, 2.69)","(78.92, 2.35)","(81.19, 1.87)","(81.08, 1.66)","(69.93, 1.66)","(67.05, 1.52)","(431.17, 16.21)"
rcm,"(78.77, 2.34)","(79.13, 2.0)","(81.7, 1.16)","(81.62, 0.98)","(69.85, 0.99)","(66.39, 1.41)","(438.59, 15.99)"
rcm,"(78.99, 2.27)","(79.32, 1.92)","(81.75, 1.07)","(81.66, 0.91)","(69.98, 0.76)","(66.66, 1.34)","(437.2, 16.25)"
rcm_1,"(78.91, 2.0)","(79.44, 1.77)","(81.81, 1.35)","(81.9, 1.26)","(69.98, 1.02)","(67.43, 2.26)","(350.15, 6.99)"
rcm_1,"(78.21, 1.5)","(78.85, 1.32)","(81.55, 1.11)","(81.72, 1.08)","(69.98, 0.35)","(67.12, 1.74)","(350.14, 7.41)"
rcm_1,"(79.91, 1.14)","(79.61, 0.99)","(81.08, 1.16)","(80.43, 1.78)","(69.32, 1.32)","(66.85, 2.56)","(340.54, 6.84)"
rcm_1,"(80.61, 1.65)","(80.38, 1.68)","(81.91, 1.73)","(81.33, 2.36)","(69.85, 1.87)","(67.92, 3.49)","(340.04, 7.94) 混合标签"
rcm_1,"(79.83, 1.14)","(79.82, 0.78)","(81.44, 1.07)","(81.08, 1.59)","(69.45, 1.08)","(67.41, 2.52)","(338.17, 4.89) 混合标签"
rcm_1,"(80.13, 1.37)","(79.81, 1.36)","(81.29, 1.52)","(80.62, 2.06)","(69.54, 1.63)","(67.04, 2.83)","(338.63, 6.91) 混合标签"
